യുണൈറ്റഡിന്	For United
മരക്കാറിന്റെ	Marakkar's
ജെഫ്	Jeff
വലകുലുക്കി	Shaking the net
കൊച്ചിയുടെ	of Kochi
സുരക്ഷയുടെ	of security
വരില്ല	It won't come
അംബാസിഡറാക്കിയ	Ambassador made
പ്ര​തി​സ​ന്ധി​യി​ല്‍	In crisis
പെട്രോളിന്	Petrol
കിവീസിന്	For the Kiwis
കളറിലുള്ള	In color
കലങ്ക	Kalanka
ബാഴ്‌സ	Barça
ഉപയോക്താക്കള്‍ക്ക്	For users
ടിക്	Tick
തീര്‍ക്കാനും	to finish
കമ്മിന്‍സ്	Cummins
ഡിപ്പാര്‍ട്ട്‌മെന്റിന്റെ	Department of
തെറിച്ചത്	Spilled
തകര്‍ത്തേനെ	Would have been destroyed.
ചേര്‍ത്തിട്ടുണ്ടെങ്കില്‍	If added
മാമാങ്കവും	And Mamangam
സര്‍ക്കാരിന്	To the government
അച്ഛനെ	My father.
കലാശപ്പോരിനിറങ്ങുന്നു	Getting into the fight
പൊരുതി	Fought
ദേവി	Devi
സ്വന്തമായി	On its own
ചിരിയടക്കാനാകാതെ	Unable to stop laughing
റിലീസ്‌	Release
തകര്‍പ്പനടി	Demolition
വാങ്ങിയാല്‍	If you buy
അതിജീവിച്ച്‌	Surviving
കെഎസ്‍ഡിപി	KSDP
തിരഞ്ഞെടുപ്പാണിത്	This is an election.
എത്താതിന്റെ	Of not arriving
റി​സ​പ്ഷ​നൊ​രു​ക്കി	The reception was arranged
മുഹമ്മദിന്‍റെ	Muhammad's
പരിധാന്റെ	Paridaan's
സ്കോര്‍ച്ചേര്‍സില്‍	In Scorchers
ഗംഭീരം	Awesome
ബേണ്‍ലിയുടെ	Burnley's
കോര്‍ട്ടില്‍	In the court
സിനിമയെ	The movie
കൈവശം	Possession
ന​വീ​ക​ര​ണവു​മാ​യി	with innovation
സെമിനാറില്‍	In the seminar
തായ്‌ലന്‍ഡ്	Thailand
ടീ​മു​ക​ള്‍	Teams
ഫെല്ലെയ്നി	Fellaini
മുന്‍വര്‍ഷത്തെക്കാള്‍	Compared to the previous year.
തിരിച്ചുവരും	Will come back.
വധു	The Bride
ഡിമാന്‍റ	Demand
കാണ്ടേണ്ട	Don't see
ജൂണിന്റെ	Of June's
പോരാടുകയാണ്	They're fighting
ഏപ്രില്‍	April
ആരാധകനോട്	To the fan
ശ്രദ്ധേയമാകുന്നു	Is noteworthy
ക​മ്മി​റ്റി	Committee
സിനിമാ	Movie
ഫ്രണ്ട്‌സിനു	Friends to Sinu
മൂത്തു	The elder one
ഇ​​​ന്ത്യ​​​ന്‍	Indian
റണ്‍ചേസ്	Run Chase
പ്രകാശും	and light.
സെമിയിലെ	in the semi-finals
ആലോചിച്ചാല്‍	If you think about it,
പരീക്ഷിച്ചാല്‍	If you try it,
ഡ്രസ്സിംഗ്	Dressing up
ദൃശ്യങ്ങള്‍	Visuals
35880ലും	and 35880.
പരിസരം	Surroundings
മത്സരിച്ച്‌	Competing
കമന്റുകളുമായി	With comments
ഗോപി	Gopi
അഴിച്ചുപണിക്ക്	For restructuring
വിവിയന്‍	Vivian
തനിക്കൊരു	He has a
ഹൈക്കോടതി	High Court
ഡി​സം​ബ​റി​ല്‍	In December
സ്റ്റാന്‍ഡിങ്	Standing
മൗറീഞ്ഞോ	Mourinho
ട്രോളുന്നത്	Trolling
ലഭ്യമാക്കാന്‍	To get
ലുക്കില്‍	In the look
കോലിപ്പടയുടെ	Kolipada's
പരാജയപ്പെട്ടിരുന്നു	Had failed
സെബി	SEBI
അര്‍ജന്റീനയല്ല	It's not Argentina.
നീക്കം	Deletion
തുകയാണോ	Is it a sum
കേന്ദ്രങ്ങള്‍	Centers
സവിശേഷതകളും	And features
കുറ്റമാണെന്ന്	it's a crime
അഫ്‌ഗാന്‍	Afghanistan
എയര്‍വെയ്സിന്റെ	Airways'
ബെര്‍നാടോ	Bernado
അപവാദത്തിനു	For slander
ജോജുവിന്റെ	Joju's
സംവിധായകരുമൊന്നും	No directors.
ഫെയിം	Fame
കാരണമാണ്	Because of
അം​​​​ഗ​​​​മാ​​​​യി	As a member
ബെംഗളൂരുവിന്	For Bengaluru
ഫ്രാങ്കോമുളയ്ക്കലിന്റെ	Franco Mulakkal's
നീര്‍മാതളം	Neem pomegranate
വന്നുതുടങ്ങി	Started to come
വിട്ടേക്കും	I'll let you go.
വിജയങ്ങളിലൊന്ന്	One of the successes
മാതൃകയായി	As an example
ഇറക്കണമെന്ന്	To be brought down
ബാധകമല്ലെന്ന്	Not applicable
വ്യക്തത	Clarity
സി​യാ​ലി​ന്	Sialin
പ്ലാന്റുകള്‍	Plants
വെടിയേറ്റു	He was shot
അതിന്	That's it.
റിച്ചാര്‍ഡ്‌സ്	Richards
ഇഷ്ട	Liked
പാലസില്‍	In the Palace
24ന്	on the 24th.
ഹരിശ്രീ	Harisree
മതസൗഹാര്‍ദ്ദത്തെ	Religious harmony
ഉറപ്പാക്കി	Confirmed
പുറത്തു	Outside.
ലോ​ക	World
സ്കോര്‍	Score
ഹൃദയം	heart
മലയാളിയെ	Malayalees
തങ്കത്തിനൊപ്പമൊരു	A one with thank you
ബലോട്ടെല്ലി	Balotelli
തോല്‍വിയെ	Defeat
കോപ്പറേറ്റീവ്	Co-operative
ഗ്രൂപ്പിന്	To the group
ദാ​​​സ്	Das
ഇന്റര്‍	Inter
വ​ള​ര്‍​ച്ച	Growth
എണ്ണക്കമ്ബനികള്‍	Oil companies
മേ​ള	Fair
കാരണങ്ങള്‍	Reasons
ദിലീപ്	Dileep
പ്രവാസി	Expat
സൂപ്പറാണ്	It's super
കൊലപ്പെടുത്താന്‍	To kill
ഭൂതമായി	as a ghost
കോണ്‍ക്രീറ്റ്	Concrete
സ്പെ​ഷ​ല്‍	Special
ലൈറ്റും	And the light
പത്തി	Pathi
പാദം	foot
എയറിലെ	In Air
ജ​​യം	Victory
യൂസുഫലി	Yusuff Ali
വാങ്ങിയെന്നതിനുളള	For the purchase of
സിമിമോളു	Simimolu
ഭാഷകളിലെ	in languages.
പ്രതികരണവുമായി	with a response
ചോദിക്കുന്ന	Asking
മാന്‍	Man
വാദികളുടെ	Plaintiffs
സെഞ്ചുറിയോടെ	With a century
ആശംസകളറിയിച്ച്‌	Greetings and good luck
നെഞ്ചിടിപ്പേറും	The heart will beat
കീറും	Torn
ഊരി	Take it off
സിങും	Singh and
ഗൃഹോപകരണ	Home Appliances
കൂട്ടാം	Let's increase
ഇടപെടുന്നു	Intervening
കേരളത്തിന്‍റെ	of Kerala
സ്‌പെല്ലിങ്ങിലൊക്കെ	In the spelling
പെട്രോള്‍	Petrol
ടിപ്പുകള	Tips
വീടുകളിലും	in the houses.
സരള	Sarla
നേതാവിന്	For the leader
കണ്ണന്‍	The eye
വര്‍ധിച്ചേക്കും	May increase
നല്‍കിയത്	Provided
പത്തില്‍	Out of ten.
കണ്ടെത്തിയതിങ്ങനെ	How to find it
നിര്‍മ്മിക്കും	Will be built
ഫെഫ്ക	FEFKA
വെള്ളിത്തിരയിലേക്ക്	To the silver screen
ഗ്രേറ്റ്	Great
ആനുകൂല്യങ്ങള്‍	Benefits
റോ​ബ​ട്ട്	Robot
ഇടപാടുകള്‍	Transactions
രൂ​പ​യു​ടെ	rs.
ജഡ്ഡു	Jaddu
എച്ച്‌ഡിഎഫ്‌സി	HDFC
ആശങ്കയില്‍	In concern
ഉണ്ടാവില്ലെന്ന്	That there won't be.
പന്ത‌്	The ball
അങ്കത്തിന്	For the ank
ഇതൊക്കെ	All of this
അഭാവത്തില്‍	In the absence of
കാറുകളിലെ	In the cars.
വരാനിരിക്കേ	When he's about to come
സിഎ	CA
ലീഗയില്‍	In the League
തുടങ്ങിയാല്‍	When you start,
സ്വര്‍ണാവസരം	Opportunity for Gold
സാംസണ്‍	Samson
വിമാനത്തില്‍	On the plane.
ഉണര്‍വ്	Wakefulness
ആഗ്രഹിക്കുന്നത്	Wanting to
സ്‌കൂള്‍	School
ഇഷ്ടത്തെക്കുറിച്ച്‌	About liking
സഞ്ചരിക്കാന്‍	To travel
നേട്ടത്തിനവകാശി	The right to gain
ചെയ്യാനെത്തിയ	Who came to do
കാര്യങ്ങള്‍	Things
അം​ബി​ക	Ambika
തട്ടിപ്പ്	Fraud
മോഹന്‍	Mohan
മനോഹരമാക്കാന്‍	To make it beautiful
യാത്രക്കാരന്	The Passenger
വോട്ടവകാശത്തിന്റെ	of the right to vote
ഓപ്പണിംഗ്	Opening
പറയുന്നു	says
ആരാധകന്‍	A fan
പോയപ്പോഴുണ്ടായ	When he left
വിനിഷ്യസിന്	To Vinicius
ലക്ഷ്മണ്‍	Lakshman
സല്‍മാന്‍	Salman
ആഞ്ഞടിച്ച്‌	Hitting
ഷെരീഫുമുണ്ടായിരുന്നു	The sheriff was also there.
കിടിലനാക്കി	Awesome
യുവതാരം	The young player
ഉറപ്പായും	Of course.
സമീര	Sameera
ബാഗേജ്	Baggage
ക്ലൈ​​മാ​​ക്സ്	Climax
ബേണിന്റെ	Bern's
കു​റ​യും	Will decrease
തിയറ്റര്‍ലിസ്റ്റ്	Theatre List
പങ്ക്	Role
ടോഫല്‍	Tofel
മനോവിഷമത്തില്‍	In distress
നാണംകെട്ടു	Shame on you
സംസാരിക്കണം	I need to talk.
ഉയരം	Height
നിന്നുള്ളവര്‍	Those from
ഗുണേശ്വരന്‍	Gunneswaran
കോടതിയില്‍	In court
തരംഗം	Wave
താത്പര്യമുണ്ടെന്ന്	that he is interested
ലക്ഷമാക്കി	Lakhs made
ബലദേവാനന്ദസാഗരഃ	baladevanandasagaraH
വെളിപ്പെടുത്തി	disclosed
മനോഹരം	beauty
എന്റര്‍ടെയിനര്‍	Entertainer
ഹസീന	Hasina
ക്യാപിറ്റല്‍സിന്റെ	Capitals'
സജിയും	And Saji
ജൂലായ്	July
നോട്ടീസ്‌	Notice
പരസ്യങ്ങള്‍ക്കായി	For ads
സംരംഭകര്‍ക്ക്	For entrepreneurs
ശിവയുടെ	Shiva's
ദല്‍ഹിയില്‍	In Delhi
അവസാനിപ്പിക്കുന്നു	Terminating
ഇൗസ്	Isse
വണ്ടി	The car
വസ്ത്രധാരണത്തെചൊല്ലി	About the dress
പത്മനാഭന്റെ	Padmanabhan's
ജീവിതത്തിലും	and in life.
ഇരുപത്തയ്യായിരം	Twenty-five thousand
ജാന്‍വി	Janhvi
പ്രഖ്യാപനം	Announcement
കെ	K
പാതിയും	And half
റെക്കോര്‍്ഡ്	Recorded
ബോളിവുഡ്	Bollywood
കെമിക്കല്‍	Chemical
സെലസ്റ്റിയല്‍	Celestial
ഫൈവ്	Five
ഇംഗ്ലണ്ടിനെന്ന്	for England.
ആദ്യമായി	For the first time
ചാമ്ബ്യന്മാര്‍ക്കൊപ്പം	With the champions
ഭീഷണികള്‍ക്കിടയില്‍	Among threats
വെട്ടി	Cut
തുടങ്ങുന്ന	Starting
മുംബൈയുടെ	Of Mumbai
തകര്‍ക്കും	Will be destroyed
എന്തുകൊണ്ട്	But why
ഞാന്‍	I
നിന്നുള്ള	from
വ്യക്തിത്വത്തെക്കുറിച്ച്‌	About personality
മാറിയെന്ന്	Changed
എംഎ	MA
കിരീട	Crown
മറികടക്കും	will be overcome
പറയരുതെന്ന്	Don't tell me.
സംഭവിച്ച	What happened
കുഞ്ഞു	Baby
മഞ്ഞ്	Snow
വക്കീലിന്	For the lawyer
16ാം	16th
സെഞ്ചുറിക്കരികെ	Near the century
പ്രധാനവേഷങ്ങളില്‍	In the lead roles
രാജസ്ഥാന്‍	Rajasthan
പിടിയില്‍	Arrested
കോല്‍​ക്ക​ത്ത​യി​ല്‍	In Kolkata
തോ​റ്റു	Lost
എങ്ങനാ	How is it?
നെതര്‍ലന്‍ഡ്‌സും	And the Netherlands
വാസന്തി	Vasanthi
സംഘികള്‍ക്ക്	For the gangs
ഏഷ്യ	Asia
സ്പര്‍സിന്റെ	Spurs'
നൈറ്റ്‌സില്‍	In the Nights
സിക്സടിയില്‍	In sixties
