ચોર્યો	The thief
શ્રીદેવીનાં	Of Sridevi
નંબરથી	By number
તેટલા	As much as
પ	p
પહોંચી	arrived
પ્રભુતામાં	in the Lord
ડે	Day
ખતરનાક	Dangerous
અગ્નિપથ	Agneepath
હિજરત	Migration
કોઇપણનું	of anyone
1344મકાનોનો	1344 Of The Macano
પદો	Positions
દિકરીઓને	Daughters
બિલ્ડરની	the builder's
ક્રિસ્ટલના	Crystal's
ઘસાઈ	Dragging
ચમેલી	Chameli
ફૂંકશે	will blow
કહેતા	saying
સામાન્ય	common
તસ્વીર	Photo
ઇન્સ્ટાગ્રામે	On Instagram
ખુશીનો	Of happiness
કરાવવાને	To get it done
કારણોથી	for reasons
પેનલ્ટીમાંથી	from penalties
કરનારાઓને	To those who
શામ	Sham
કેબલમાં	In cable
તસવીરનું	of the picture
ગુલ્લી	Gulli
વિમાનમાં	On the plane
અટવાયા	Atwaya
ખાસિયત	Features
માવઠામાં	In Mawtha
બ્યુટિફૂલ	Beautiful
મનભરીને	Mindfully
સુંદર	Pretty
વેચવા	To sell
શર્મજનક	Embarrassing
જોષી	Joshi
સાઇના	Saina
હોળી	Holi
શોષણના	of exploitation
દીકરાને	son
બાયોપિકનું	of the biopic
લાલચે	Greed
હરામ	Haram
ફ્લિપકાર્ટને	To Flipkart
આલિયાના	Alia's
10500ની	10500
જાફિરાનો	Jafirano
પંજાબનાં	Of Punjab
હવામાં	In the air
મેળવ્યો	Received
રેલવે	Railways
ફરમાવતી	
સમાચારઃ	News:
બાળકીઓની	of the girls
ધનુષ	Sagittarius
600ને	To 600
ગુલઝાર	Gulzar
નાશ	destroyed
599માં	In 599
ઇનામ	Prize
પાનકાર્ડ	PAN Card
મર્ડોકે	Murdoke
રાખેલા	Kept
રૂપિયામાં	In rupees
2015ના	Of 2015
લોકપ્રિય	popular
શકાશે	Can be
નોકરાણીનો	of the maid
એમ્બે	Ambe
ધંધાર્થીઓને	To businessmen
કરતી	doing
ક્લબમાં	at the club
4થી	From 4
સારુ	Good
આંગળી	finger
મેળવે	Gets
નુકસાન	Damage
મુદ્દોઃજેટલી	Issue: As much as
ડ્રગ્સનાં	of drugs
સબરીમાલા	Sabarimala
7નો	of 7
સ્તનપાન	Breastfeeding
સીઇઓ	CEO
સુપરફાસ્ટ	Superfast
યુવતીને	to the girl
પ્રભુએ	The Lord
લીઝા	Lisa
જયપુર	Jaipur
50પૈસાના	50 paise
રાવલ	Rawal
હવાઈ	Hawaii
લક્ષ્મી	Lakshmi
ઈશાનાં	Ishaana
શરન	Sharan
ઉદિતા	Udita
સિંગતેલના	Singtel's
ફેબ્રુઆરીએ	In February
કરવાનો	to do
અરબપતિ	billionaire
તપાસમાં	In the investigation
વેલ્યૂ	Value
વેચાતી	Selling
કરચોરીની	of tax evasion
બ્રધર્સઃ	Brothers:
મારી	mine
લંડન	London
બોક્સમાંથી	From the box
તુટ્યો	Broken
જીયોના	Giona
વિવાદનો	of dispute
માત્ર	only
રેપરના	of the rapper
ચૂક્યુ	Chukyu
બ્રહ્માસ્ત્ર	Brahmastra
ઓગષ્ટમાં	in August
સુમિત	Sumit
શોખ	Hobby
કેટલું	How much
પુછી	Asking
સરનનાં	Saran's
તેટલી	As much as
લાવો	Fetch
ઓળખ	Identity
લોકાર્પણ	Launch
ફેરફાર	change
વેટીંગ	Waiting
કર્લી	Curly
અબજ	Billions
અંકોથી	from digits
રાયને	Ryan
જોઇન્ટ	Joint
10380ની	Of 10380
વરરાજાનો	of the groom
ખિસ્સાને	to the pocket
છોકરી	The girl
યૂપીના	Of UP
સ્ક્રીનગાર્ડ	Screenguard
મધુર	sweet
દેશોની	Countries
લેવા	To take
દેશો	Countries
રાખેલી	Kept
તન્નાએ	Tanna
છુપાવીને	By hiding
ઘાયલ	injured
ટ્રાય	Try
10115ની	Of 10115
ખુશ	joyful
અઠવાડિયે	Weekly
લકી	Lucky
ભારતની	Of India
ચાર્જશીટ	Chargesheet
અજાણ્યા	Unknown
આપનારાઓનો	of the givers
વિદાય	Farewell
વિશ્વની	of the world
એકાઉન્ટ	Accounts
સલમાનની	Salman's
ટુંકો	Short
છમ્મા	Chhamma
ત્રિશાલાએ	Trishala
એડમિનની	admin's
ખરીદશો	Buy
જમ્યા	Ate
1000નું	Of 1000
શૉથી	From The Show
સેવાનો	of the service
મજબૂત	firm
લગ્નના	of marriage
વીત્યું	passed
અમલમાં	In implementation
ઘસવાનાં	To rub
વેલકમ	Welcome
નોકરીના	Of the job
અઠવાડીયાથી	from week
જોખમ	Risk
કૈફના	Kaif's
ડ્રગ્સ	Drugs
તબ્બુ	Tabu
મહત્વના	Important
પુછશે	will ask
લોટરી	Lottery
વેનિટી	Vanity
બુકમાં	In the book
સરી	Sari
દબંગ	Dabang
સમસ્યાથી	from the problem
રાજમોતી	Rajamoti
ઠાકોરનો	Thakor's
ઇમરાન	Imran
ખાનગી	Private
બેંગ્લુરુની	Of Bengaluru
ખરીદો	Buy
આંકડાને	To the figures
શાહરૂખનો	Shah Rukh's
ભુલથી	by mistake
આપવાની	to give
મોકલાવેલ	Moknel
લખી	Writing
હોલમાં	in the hall
ડાયલોગના	Dialogna
દફનાવવામાં	To be buried
ફૂડપાર્કને	To the foodpark
બાળકીની	of the girl
માયા	Maya
કેપ્ટન	Captain
ખરીદે	Buys
ડાયન	Diane
રોકાણકારો	Investors
સાંભળ્યું	Heard
પીવડાવીને	By drinking
પડ્યો	fell
વિલયઃ	Vilaya:
સ્માર્ટફોનને	to the smartphone
ઉલ્ટા	Upside down
અવરામને	To Avram
અજીબો	Strange
છોકરીઓને	To the girls
નાણાની	of finance
ક્રિષ્નાની	Krishna's
હટીને	By removing
માત	Maat
મહેમાનોનું	of guests
સરપ્રાઇઝ	Surprise
સ્નોમેપ	Snowmap
બન્ને	Both
કમાનારી	Earner
વ્હીલર	Wheeler
કોર્પોરેશનનો	of the corporation
રાધિકા	Radhika
ફેઈલ	Failed
શ્વેતા	Shweta
ફડચામાં	in the phadcha
ઓપરેટ	Operate
વાઈરલ	Viral
ભગવાન	God
અવનવા	Avanwa
બીજો	Another
નેક	Neck
બોલ્ડ	Bold
ચુપ્પી	Chuppi
નિકને	To Nick
ઘુસ	Entry
લિયોની	Leoni
બેંકોનાં	of the banks
બેકરીનો	Of the bakery
મચાવી	Raasi
તમામના	of all
બેશરમ	Shameless
સર્વે	Survey
દીકરા	Son
જોડાયેલુંઃપીએમ	Connected to:PM
તીન	Teen
બાળકે	Child
ઉદ્દેશ	Purpose
નોકરીઓના	Of jobs
જેક્લિને	Jacqueline
અમદાવાદ	Ahmedabad
ગીતા	Gita
રેખાએ	On the line
ફેક્ટરી	Factory
કાઢ્યું	Removed
આજથી	From today
દેખાડી	Shown
વધુની	More
મેસેન્જર	Messenger
હેલનનાં	Helen's
ગેરન્ટેડ	Guaranteed
રમી	Played
નિર્ણયને	Decision
રામદેવ	Ramdev
વાળી	Folded
બાઈક્સ	Bikes
રણબીરનો	Ranbir's
શહેરોની	of cities
સુસ્મિતા	Sushmita
અંત	End
બદલામાં	In return
કપૂરના	Kapoor's
શમીની	Shamini
વધારાના	Extra
ડરેલા	Scared
મારીશું	We'll kill
થતા	happening
રકમ	amount
જાહેરાતોને	To ads
નિર્ભર	Dependent
ફરજિયાત	Compulsory
ચાર્ટર્ડ	Chartered
ગોરખપુર	Gorakhpur
ઐશ્વર્યાને	To Aishwarya
પોલિસ્ટર	Polyester
લહેરાવી	Waving
પ્રતિબિંબ	Reflections
જોયેલી	Viewed
ગાવા	To Sing
ગગડ્યો	Messed up
હલકી	light
ડ્રગ્સની	of drugs
સૈફને	To Saif
પરની	On
ખતરો	Danger
ઘટાડો	Decrease
નેટવર્ક	Network
જયેન	Jayen
ધ	The
સર્જાશે	will be created
ક્વાર્ટરમાં	quarterly
યુવતીએ12	The girl12
ઇશ્યુ	Issue
આઇટમ	Item
પ્રેગ્નેટ	Pregnette
બાળકોની	Children's
ડિક્રુઝ	D'Cruz
બન્યો	became
ટેરિફથી	from tariff
બાળક	child
વરરાજાએ	The groom
રામપાલ	Rampal
ઓબામા	Obama
ત્રિમાસિક	Quarterly
ટ્વિટર	Twitter
નાગરિક્તા	Citizenship
ફોનના	of the phone
ફિલ્મનુ	of the film
કપડાંથી	from clothes
હરણફાળઃ	Haranfal:
ક્રાઇમ	Crime
ડબલ	Double
સહગલ	Sahgal
વધારાથી	Additionally
બદલાયુ	Changed
સ્પેશ	Space
બચી	Surviving
જરુરી	Necessary
બહેનપણી	Sisterhood
બ્રેસ્ટ	Brest
ઈસ્કોન	ISKCON
શોલ્ડર	Shoulder
બજેટ	Budget
બુકિંગ	Booking
મોઘવારીનો	Moghwari's
ચર્ચા	Discussion
ભાડું	Rent
જોખમઃ	Risk:
આયુષ્માને	To Ayushman
ગણેશ	Ganesh
સાઈન	Sign
ફાળકે	Phalke
અંગદ	Angad
મોકો	Chance
બેઝિક	Basic
થશેઃ	It will be:
જોડાશે	Will join
મોદીને	Modi
આધારકાર્ડને	Aadhaar card
દીકરીના	of the daughter
સિંગરે	Singer
દિલને	to the heart
ભરાઈ	Filled up
વિલન	Villain
કૌશલે	Kaushal
રાજકોટમાં	In Rajkot
અવારનવાર	Frequently
છેતરી	Cheating
કંપની	company
વ્યક્તિના	person's
અપાવશે	will give
કડાકોઃ	Kadako:
પહોંચશે	will arrive
વર્ષનાં	of years
નાણામંત્રી	Finance Minister
મુંગડા	Mungda
ટ્રોલર્સે	Trollers
બેથી	From two
ઈરફાન	Irfan
કાંડ	Scandal
વસ્ત્રોમાં	In clothes
શ્રદ્ધાની	of faith
ખુશી	Happiness
બેંકો	Banks
સરખો	Same
વિરૂષ્કાના	Virushkana
સરકારમાં	In Government
બોલીને	By speaking
રોકાય	Stayed
નાખીશું	We'll put it
રમત	Game
કરવા	to
મોર્ગન	Morgan
વાઇબ્રન્ટમાં	In Vibrant
ટ્યૂબ	Tube
લઈને	Take
નિર્ણયો	Decisions
20સુધી	Up to 20
કન્ટેસ્ટંટનાં	Of the contestants
વોલેટમાં	In the wallet
ઝટકા	Jhatka
મિનિટમાં	in minutes
બોયફ્રેન્ડ	boyfriend
કોમ્પ્યુટર	Computer
નીકાળ્યો	Ejected
દેવે	God
હેરી	Harry
મોહાપાત્રાને	To Mohapatra
શાંતિ	peace
વોટ્સએપના	Of WhatsApp
1000ની	Of 1000
કામણ	Kaman
અડધાથી	Half
જાવેદ	Javed
ખાતુ	Accounts
પ્લેટ	Plate
ડાઇલોગ્સથી	From Dialogs
નિવાસે	Residence
વધ્યાં	increased
ફિલ્મફેરની	Of Filmfare
ટેન્ટ	Tent
ઉતરણ	Landing
બચાવનારા	Rescuers
પસાર	Passing
રેપનાં	Repna
સવારે	In the morning
રનૌટનાં	Ranaut's
ભૂમિપૂજન	Bhoomi pujan
શ્રી	Shri
નોટનો	Notes
ઉપજ	Yield
સોરી	Sorry
જંત્રીના	Jantri's
લુંટાયા	Lootaya
ઇન્કમટેક્સમાં	In income tax
કલાકનો	Hours
યાદ	Remember
ભરાઇ	Filled up
ભ્રષ્ટાચાર	corruption
લઉ	Lou
સોનમના	Sonam's
ડેરીએ	Derrie
બીનો	Bino
કરિશ્મા	Karishma
કબુલ્યું	admitted
251માં	In 251
એપ્સથી	from apps
ઇમેજ	Image
પેડમેન	Padman
કાર્પેટ	Carpet
અપનાવો	Adopt
સ્માર્ટફોનના	of the smartphone
બહેનોને	To the sisters
ફિલ્મી	Filmy
ડેસ્કટૉપથી	From desktop
હડતાળઃ	Strike:
ઘેરાયેલી	besieged
સીનમાં	In the scene
લાંબો	Long
સ્ટીંગ	Sting
બતાવ્યો	Shown
કમાન્ડર	Commander
એનર્જી	Energy
ટીવીના	TV's
સાજીદ	Sajid
વર્ષનો	year
સમ્રાટે	The Emperor
70હજાર	70,000
અડશે	will touch
આધાર	Support
બત્તી	lamp
લાગેલો	felt
બટાટા	Potatoes
જીયોથી	From Jio
ચોક્સીએ	Choksi
10નો	of 10
વાયરલ	Viral
સુરતઃ8	Surat: 8
